Province Code|Province Name|Regency/Municipality Code|Regency/Municipality Name|District Code|District Name|Village Code|Village Name|Population
||||||026|PINGGAN MBLANG|211
||||||027|UKIR DELENG|197
||||||028|ALAS MESIKHAT|194
||||||029|TITI HARAPAN|240
||||||030|ALUR BARU|164
||||012|TANOH ALAS|001|ALUR LANGSAT|237
||||||002|LAWE TUNGKAL|336
||||||003|RUMAH LUAR|244
||||||005|RAMBAH SAYANG|259
||||||006|JAMBUR DAMAR|269
||||||007|TENEMBAK ALAS|252
||||||008|SALIM PINIM|330
||||||009|RUTUNG MBELANG|268
||||||010|SETAMBUL JAYA|285
||||||011|ALUR NANGKA|179
||||||012|TIMANG RASA|314
||||||013|JAMBUR PERMATA|261
||||||014|KUTE MEJILE|212
||||||015|SALIM PINIM II|130
||||020|LAWE SIGALA-GALA|011|LAWE LONING GAB|345
||||||012|LAWE LONING AMAN|1190
||||||013|GABUNGAN PARSAORAN|359
||||||014|KEDATARAN GAB|402
||||||016|KUTA TENGAH|650
||||||017|TANAH BARU|896
||||||018|LAWE SIGALA TIMUR|757
||||||019|LAWE SIGALA BARAT|904
||||||020|SUKA DAMAI|298
||||||021|LAWE SIGALA II|340
||||||022|LAWE TUA GAB|433
||||||023|BUKIT MERDEKA|511
||||||024|LAWE KESUMPAT|472
||||||027|DARUL AMAN|579
||||||035|LAWE LONING SEPAKAT|354
||||||036|GAYA JAYA|427
||||||037|LAWE LONING I|549
||||||038|LAWE RAKAT|552
||||||039|SUKA MAJU|540
||||||040|SUKA JAYA|665
||||||041|LAWE SERKE|548
||||||042|LAWE TUA PERSATUAN|520
||||||043|LAWE TUA MAKMUR|285
||||||044|BUKIT SEPAKAT|322
||||||045|ENMYA BATU DUA RATUS|412
||||||046|SEBUNGKE|361
||||||047|LAWE LONING HAKHAPEN|553
||||||048|NDAUH NI TENGGAU|418
||||||049|KERTIMBANG|215
||||||050|LAWE SIGALA BARAT JAYA|754
||||||051|LAWE PEKHIDINAN|481
||||||052|GELAH MUSARA|200
||||||053|MULIE DAME|280
||||||054|KARYA INDAH|330
||||||055|KAYU MBELIN|527
||||021|BABUL MAKMUR|002|MUARA SITULEN|895
||||||003|PARDAMEAN|886
||||||004|SEJAHTERA|365
||||||005|KAMPUNG BHAKTI|741
||||||006|LAWE PERBUNGA|552
||||||007|CINTA DAMAI|1083
||||||008|PARDOMUAN II|879
||||||009|LAWE DESKI SABAS|920
||||||010|PARDOMUAN I|362
||||||011|LAWE DESKI I|386
||||||017|MUSARA SETIA|406
||||||018|SEJAHTERA BARU|412
||||||019|TANOH ALAS|740
||||||020|CINTA MAKMUR|704
||||||021|LAWE MANTIK|733
||||||022|KUTE MAKMUR|483
||||||023|LAWE DESKY TONGAH|416
||||||024|LAWE TAWAKH|376
||||||025|SABILUSSALAM|385
||||||026|DESKI JAYA|331
||||||027|PINTU ALAS|525
||||022|SEMADAM|001|LAWE KINGA T TINGGI|283
||||||002|LAWE BERINGIN HORAS|482
||||||003|LAWE BERINGIN GAYO|761
||||||004|SUKA MAKMUR|935
||||||005|NGK ALUR BULUH|696
||||||006|SIMPANG SEMADAM|1032
||||||007|SEMADAM AWAL|931
||||||009|SEMADAM ASAL|621
||||||010|LAWE KINGA GAB|363
||||||011|TITI PASIR|897
||||||012|PASAR PUNTUNG|495
||||||013|LAWE PETANDUK|707
||||||014|SEPAKAT SEGENEP|392
||||||015|KAMPUNG BARU|525
||||||016|SELAMAT INDAH|330
||||||017|LAWE MEJILE|583
||||||018|LAWE KINGA LAPTER|421
||||||019|LAWE PETANDUK I|248
||||023|LAUSER|001|NAGA TIMBUL|127
||||||002|GUNUNG PAK-PAK|319
||||||003|BUNBUN ALAS|99
||||||004|TANJUNG SARI|436
||||||005|BINTANG ALGA MUSARA|233
||||||006|BUKIT BINTANG INDAH|467
||||||007|SUKA DAMAI|89
||||||008|SEPAKAT|174
||||||009|PUNCE NALI|117
||||||010|SADE ATE|70
||||||011|ARIH MEJILAI|145
||||||012|UKHAT PESELUK|165
||||||013|TUNAS MUDE|110
||||||014|GAYE SENDAH|122
||||||015|KUTE HAKHAPEN|63
||||||016|TUAH KERINE|114
||||||017|LAWE SEKHAKUT|123
||||||018|BUN BUN INDAH|229
||||||019|LAUT TAWAR|449
||||||020|KANE MENDE|223
||||||021|KOMPAS|154
||||||022|BUKIT MERIAH|533
||||||023|PERMATA MUSARA|315
||||030|BAMBEL|016|TUALANG SEMBILAR|457
||||||017|TERUTUNG PAYUNG HILIR|540
||||||018|TERUTUNG PAYUNG HULU|297
||||||019|LIKAT|481
||||||020|RIKIT|380
||||||021|KUNING I|1327
||||||022|CINTA DAMAI|690
||||||023|KUNING II|559
||||||024|KUTA LANG LANG|422
||||||025|PEDESI|390
||||||026|BIAK MULI|825
||||||027|TERUTUNG MEGARA ASLI|644
||||||028|PINDING|1053
||||||029|LAWE HIJO|642
||||||034|BAMBEL GABUNGAN|708
||||||040|PULO KEDONDONG|623
||||||041|PULO PERENGGE|224
||||||042|KUTE ANTARA|251
||||||046|TERUTUNG SEPERAI|497
||||||047|LAWE KIHING|484
||||||048|BAMBEL|581
||||||049|KUTE SERI|321
||||||050|KUTA BULUH|144
||||||051|TUALANG SEMBILAR BARU|162
||||||052|TERUTUNG PAYUNG GABUNGAN|309
||||||053|BIAK MULI BARU|491
||||||054|BIAK MULI PANTE RAJA|330
||||||055|BIAK MULI SEJAHTERA|183
||||||056|LAWE HIJO METUAH|187
||||||057|LAWE HIJO AMPERA|167
||||||058|LEMBAH HAJI|336
||||||059|KUTA LANG LANG BARU|170
||||||060|PANCAR IMAN|215
||||031|BUKIT TUSAM|001|MAHA SINGKIL|387
||||||002|TENEMBAK BINTANG|391
||||||003|ALUR BULUH|174
||||||004|TUALANG BARU|277
||||||005|KUTA LENGAT PAGAN|345
||||||006|KUTA LENGAT SELIAN|294
||||||007|KUTA LINGGA|324
||||||008|REMA|539
||||||009|LAWE DUA GAB|909
||||||010|KERUKUNAN|346
||||||012|RIKIT BUR|505
||||||013|AMALIAH|341
||||||014|GUMPANG|201
||||||015|PEJUANG|330
||||||016|SEBUDI JAYA|592
||||||017|BAMBEL BARU|614
||||||018|DARUSSALAM|431
||||||019|KUTE GEKHAT|222
||||||020|MBAK SAKO|341
||||||021|PAYE RAMBUNG|132
||||||022|DARUL IMAMI|253
||||||023|RIKIT BUR II|852
||||||024|EMPAT LIMA|438
||||032|LAWE SUMUR|001|KUTA LESUNG|297
||||||002|BERANDANG|667
||||||003|LAWE SUMUR|324
||||||004|TERUTUNG MEGARE LAWE PASARAN|319
||||||005|KISAM GABUNGAN|615
||||||006|PENOSAN|202
||||||007|KISAM KUTE PASIR|323
||||||008|BUAH PALA|583
||||||009|KUTE BUNIN|341
||||||010|LAWE SUMUR BARU|266
||||||011|SETIA BARU|330
||||||012|LAWE PERLAK|216
||||||013|LAWE SUMUR SEPAKAT|341
||||||014|TERUTUNG MEGARA BARU|604
||||||015|LAWE PASARAN TENGKU MBELIN|258
||||||016|KISAM LESTARI|320
||||||017|KISAM KUTA RAMBE|451
||||||018|TIGER MIKO|239
||||040|BABUSSALAM|001|KUTA RIH|1315
||||||002|KUTACANE LAMA|1406
||||||003|PERAPAT HILIR|1891
||||||004|PERAPAT HULU|1437
||||||005|PULO LATONG|1111
||||||010|KOTA KUTACANE|4498
||||||011|MUARA LAWE BULAN|478
||||||012|MBARUNG|918
||||||013|PULONAS|2285
||||||021|BATU BULAN I|408
||||||022|BATU BULAN II|466
||||||023|BATU BULAN ASLI|1703
||||||024|KAMPUNG RAJA|555
